Entity,Code,Year,Share of population living in urban areas,Projected share of population living in urban areas
Afghanistan,AFG,1975,61.812626,
Afghanistan,AFG,1980,62.088333,
Afghanistan,AFG,1985,58.71781,
Afghanistan,AFG,1990,59.36144,
Afghanistan,AFG,1995,67.25845,
Afghanistan,AFG,2000,71.531105,
Afghanistan,AFG,2005,75.68705,
Afghanistan,AFG,2010,78.38976,
Afghanistan,AFG,2015,81.899826,
Afghanistan,AFG,2020,84.35297,84.35297
Afghanistan,AFG,2025,,86.349915
Afghanistan,AFG,2030,,87.846504
Africa,,1975,56.118877,
Africa,,1980,57.860428,
Africa,,1985,59.84285,
Africa,,1990,61.9528,
Africa,,1995,64.04042,
Africa,,2000,66.19282,
Africa,,2005,67.52939,
Africa,,2010,68.99012,
Africa,,2015,70.348465,
Africa,,2020,71.26247,71.26247
Africa,,2025,,73.035446
Africa,,2030,,74.58397
Akrotiri and Dhekelia,OWID_AKD,1975,0,
Akrotiri and Dhekelia,OWID_AKD,1980,0,
Akrotiri and Dhekelia,OWID_AKD,1985,0,
Akrotiri and Dhekelia,OWID_AKD,1990,0,
Akrotiri and Dhekelia,OWID_AKD,1995,0,
Akrotiri and Dhekelia,OWID_AKD,2000,0,
Akrotiri and Dhekelia,OWID_AKD,2005,0,
Akrotiri and Dhekelia,OWID_AKD,2010,22.388739,
Akrotiri and Dhekelia,OWID_AKD,2015,39.60948,
Akrotiri and Dhekelia,OWID_AKD,2020,39.58044,39.58044
Akrotiri and Dhekelia,OWID_AKD,2025,,39.368046
Akrotiri and Dhekelia,OWID_AKD,2030,,38.258163
Albania,ALB,1975,46.310978,
Albania,ALB,1980,47.404747,
Albania,ALB,1985,49.465202,
Albania,ALB,1990,52.18025,
Albania,ALB,1995,55.68941,
Albania,ALB,2000,57.5623,
Albania,ALB,2005,59.208454,
Albania,ALB,2010,61.917667,
Albania,ALB,2015,65.23914,
Albania,ALB,2020,67.90752,67.90752
Albania,ALB,2025,,70.90329
Albania,ALB,2030,,73.63802
Algeria,DZA,1975,58.890705,
Algeria,DZA,1980,61.673088,
Algeria,DZA,1985,64.74748,
Algeria,DZA,1990,67.177216,
Algeria,DZA,1995,70.324554,
Algeria,DZA,2000,72.79024,
Algeria,DZA,2005,74.67455,
Algeria,DZA,2010,76.51159,
Algeria,DZA,2015,78.21608,
Algeria,DZA,2020,79.648544,79.648544
Algeria,DZA,2025,,80.697235
Algeria,DZA,2030,,81.354034
American Samoa,ASM,1975,65.63241,
American Samoa,ASM,1980,68.239815,
American Samoa,ASM,1985,72.9498,
American Samoa,ASM,1990,78.93888,
American Samoa,ASM,1995,82.43325,
